"id","name","number_of_seasons","number_of_episodes","original_language","vote_count","vote_average","overview","adult","backdrop_path","first_air_date","last_air_date","homepage","in_production","original_name","popularity","poster_path","type","status","tagline","genres","created_by","languages","networks","origin_country","spoken_languages","production_companies","production_countries","episode_run_time"
"3288","The Weekenders","4","73","en","24","7.8","The Weekenders is a Disney animated series about the weekend life of four diverse 7th graders: Tino Tonitini, Lorraine McQuarrie, Carver Descartes, and Petratishkovna Katsufrakis, voiced by veteran cartoon voice-actors: Jason Marsden, Grey DeLisle, Phil LaMarr, and Kath Soucie, respectively. It is stated at least once that the four main characters are each twelve years old. The setting is the fictional town of Bahia Bay, California. The show was created by Doug Langdale, later creator of Disney Channel's Dave the Barbarian.","False","/4i5ALQiqsTQ2S28B0uZSvk6cV1E.jpg","2000-02-26","2004-02-29","","False","The Weekenders","13.292","/aqpaC32hWrf9jdPkLiS3u73OcyZ.jpg","Scripted","Ended","","Animation, Comedy, Kids","Doug Langdale","en","Toon Disney, UPN, ABC","US","English","Disney Television Animation, Wang Film Productions","United States of America","11"
"129057","Notre-Dame","1","6","fr","24","5.8","As the Paris firefighters try to stop the flames from spreading in the Cathedral, the show also follows characters being put through the wringer - they will have to fight each other, love each other, come across each other, hate each other, smile at or help each other - so that, in the end, they may have a chance to start all over again.","False","/7x5jNsPS93fS47DvzmWWf3bH4WZ.jpg","2022-10-19","2022-10-19","https://www.netflix.com/title/81305674","False","Notre-Dame, la part du feu","4.226","/uMtryUXNFfKwk8rddrjWYm0o5Zz.jpg","Scripted","Ended","","Drama","Hervé Hadmar, Olivier Bocquet","fr","Netflix","FR","Français","Cheyenne Films","France","55"
"85712","Lorena","1","4","en","24","6.8","This four-part docuseries investigates the events of 1993, where Lorena Bobbitt sliced off her husband's penis after years of abuse. John and Lorena Bobbitt's stories exploded into a 24-hour news cycle. She became a national joke, her suffering ignored by the male-dominated press. But as John spiraled downward, Lorena found strength in the scars of her ordeal.","False","/93df4p9j1h0wfm8IvRD9KQczchT.jpg","2019-02-14","2019-02-14","https://www.amazon.com/dp/B07MH68NSN","False","Lorena","3.873","/3a6FrCtQ1mHllI3dvaKLG8dsnhT.jpg","Documentary","Ended","","Documentary, Crime","Jordan Peele","en, es","Prime Video","US","English, Español","Sonar Entertainment, Monkeypaw Productions, Number 19","United States of America","62"
"90046","90 Day Fiancé: The Other Way","5","92","en","24","8.021","Americans move to a foreign country all in the name of love. Will uprooting their lives in the United States pay off, or will they be packing up and moving back to America brokenhearted?","False","/9jmxvWOt5xTjrJ03FNmViZCuZ5f.jpg","2019-06-03","2023-10-02","https://www.tlc.com/tv-shows/90-day-fiance-the-other-way/","True","90 Day Fiancé: The Other Way","43.067","/jw4KDjNmpBnMd7fEjbz9qTUmKJS.jpg","Reality","Returning Series","","Reality","","en","TLC","US","English","","United States of America","43"
"210239","Lucky Hank","1","8","en","24","6.8","A mid-life crisis tale about the unlikely chairman of the English department in a badly underfunded college in the Pennsylvania rust belt.","False","/7PRW7HFrD6hpD8nL7YEgWKG8i1F.jpg","2023-03-19","2023-05-07","https://www.amc.com/shows/lucky-hank--1061358","True","Lucky Hank","12.137","/eKYPaXerPYUhmCsGlk8KlGkrIc9.jpg","Scripted","Returning Series","","Drama","Aaron Zelman, Paul Lieberstein","en","AMC","US","English","TriStar Television, Gran Via Productions, Sony Pictures Television Studios","United States of America","0"
"202886","Web of Make Believe: Death, Lies and the Internet","1","6","en","24","6.417","Conspiracy. Fraud. Violence. Murder. What starts out virtual can get real all too quickly — and when the web is worldwide, so are the consequences.","False","/47WofxB9sNP1dRQ7y1dz9tupLY7.jpg","2022-06-15","2022-06-15","https://www.netflix.com/title/81122462","True","Web of Make Believe: Death, Lies and the Internet","5.3","/wjdpAclyKGhg8tjgvOPN9bwluZs.jpg","Documentary","Returning Series","","Documentary, Crime","Brian Knappenberger","en","Netflix","US","English","Luminant Media","United States of America","0"
"225226","Pesci piccoli","1","6","it","24","7.021","A small digital agency struggles against the odds while dreaming of something bigger. It finds itself in a tricky situation, between extravagant clients and the challenges of a modest provincial reality.","False","/1QLV9ISPJP1TAJopzCPjrxm3f5X.jpg","2023-06-08","2023-06-08","","True","Pesci piccoli","2.179","/2toluHSXoBy8ihFAuVg1uBFUkCu.jpg","Scripted","Returning Series","","Comedy","Francesco Capaldo, Alessandro Grespan","it","Prime Video","IT","Italiano","","","30"
"40903","Emil of Lönneberga","1","13","sv","24","7.667","Emil i Lönneberga is a Swedish television adaptation of Astrid Lindgren's Emil i Lönneberga books","False","/kK9haWAhLiMhpnC8IWX3K2PKyII.jpg","1975-11-22","1976-02-14","","False","Emil i Lönneberga","7.955","/rT4RdeqzY9Kqj7oHOC5tF5KNmS2.jpg","Scripted","Ended","","Family, Comedy","Astrid Lindgren","sv","SVT1","SE","svenska","SF Studios, RM Produktion","Germany, Sweden","25"
"72523","Angel's 3Piece!","1","12","ja","24","7.4","A shut-in ever since he had a traumatic experience, Nukui Hibiki's biggest hobby has been using vocalization software to create and uploading songs online. One day, he receives an email from some fifth-grader girls, asking to meet and discuss something with him. The three girls, who have grown up together almost like siblings, ask him to help them show their gratitude to the people who have taken care of them. The method they've devised? Putting on a successful concert at a place full of memories.","False","/oIsR3DFdFQzlWVhKWMe6Va3VAiR.jpg","2017-07-10","2017-09-25","http://www.tenshi-no-3p.com/","False","天使の3P！","8.021","/aVmLA24NypvwPkh9BGASQlOLuLu.jpg","Scripted","Ended","","Animation, Comedy","","ja","AT-X, BS Fuji, KBS Kyoto, Tokyo MX, Sun TV","JP","日本語","project No.9","Japan","25"
"97535","Dignity","1","8","de","24","6.8","The Germanic cult 'Colonia Dignidad' abused children, tortured and killed prisoners in its secret compound. Now, with Chilean dictator Pinochet gone, Leo Ramírez, a young federal prosecutor, must bring its leader Paul Schaefer to justice.","False","/eNXIsnIfoF5VYgcUz7xIT7uJuV1.jpg","2019-12-19","2020-01-09","https://www.joyn.de/serien/dignity","False","Dignity","4.687","/frfglATu6M9yr3XRwzKr4tON9Rt.jpg","Miniseries","Ended","","Drama","María Elena Wood, Patricio Pereira","de, es","joyn","DE, CL","Deutsch, Español","Cawley Entertainment Company, Invercine&Wood","Chile, Germany","52"
"121792","Akebi's Sailor Uniform","1","12","ja","24","6.9","Robai Private Academy is a well-known girls’ junior high school in the countryside. Komichi Akebi is a girl who, for a certain reason, has dreamed of wearing a Robai Academy sailor uniform. Her dream comes true, and her heart races as the day of the school entrance ceremony arrives. With her heart set on her new sailor uniform, Komichi embarks on the junior high school life of her dreams. Komichi dashes headlong through days full of “firsts”—classmates, school lunches, club activities, and more—in this sparkling diary of girlhood. “I hope I can make a lot of friends.”","False","/A7jnN3Qf7garU996UKf8wQm7I52.jpg","2022-01-09","2022-03-27","https://akebi-chan.jp","False","明日ちゃんのセーラー服","11.013","/kGMOxl3o9QNeRzAvmeDJaaxLrtV.jpg","Scripted","Ended","","Animation, Comedy","","ja","Tochigi TV, BS11, Gunma TV, Tokyo MX","JP","日本語","CloverWorks, Shueisha, Aniplex","Japan","24"
"40190","Operation Petticoat","2","33","en","24","7.0","During World War II, a Navy officer commands a pink sub with a crew of five rescued Army nurses and a combat-phobic supply officer in this series based on the 1959 movie starring Cary Grant and Tony Curtis. Curtis's daughter Jamie Lee played one of the nurses (her first recurring role on network TV).

First aired in 1977","False","","1977-09-17","1979-07-06","","False","Operation Petticoat","1.488","","Scripted","Ended","","Comedy, War & Politics","","en","","","English","","","0"
"62810","Odd Mom Out","3","30","en","24","6.2","Acclaimed author Jill Kargman plays a version of herself as she navigates the treacherous and elite ecosystem of New York's Upper East Side, and the uber-wealthy mommy clique inhabiting this fantastically outrageous domain.","False","","2015-06-08","2017-09-13","http://www.bravotv.com/odd-mom-out","False","Odd Mom Out","3.988","/k2mh5mjEhr5LpWHA39WB1jpignp.jpg","Scripted","Canceled","","Comedy","Jill Kargman","en","Bravo","US","English","","","23"
